business_unit,month,service,workload_count,allocated_cost_gbp,share_of_bu_pct,variance_vs_prior_month_pct
Data and Analytics,2025-11-01,Tape Virtualisation,1,1773.81,3.25,-6.67
Data and Analytics,2025-11-01,Tomcat,2,165.93,0.3,-4.35
Data and Analytics,2025-11-01,VMware vSphere,1,460.93,0.84,-7.77
Data and Analytics,2025-11-01,VSAM Storage,2,8786.1,16.08,-4.36
Data and Analytics,2025-11-01,Veeam Backup,1,219.36,0.4,-7.57
Data and Analytics,2025-11-01,WebSphere Application Server,1,146.25,0.27,-6.09
Data and Analytics,2025-11-01,Windows Server,1,220.68,0.4,-4.04
Data and Analytics,2025-12-01,Block Storage,1,352.82,0.58,8.75
Data and Analytics,2025-12-01,CICS Transaction Server,1,976.66,1.6,7.49
Data and Analytics,2025-12-01,Container Registry,1,137.5,0.22,8.28
Data and Analytics,2025-12-01,Db2 for z/OS,1,12227.36,19.97,12.67
Data and Analytics,2025-12-01,F5 Load Balancing,1,62.46,0.1,7.21
Data and Analytics,2025-12-01,IMS Transaction Manager,1,1906.28,3.11,10.25
Data and Analytics,2025-12-01,JCL Scheduler,1,2205.33,3.6,16.39
Data and Analytics,2025-12-01,Kubernetes Service,1,45.81,0.07,5.17
Data and Analytics,2025-12-01,Log Analytics,1,41.87,0.07,5.57
Data and Analytics,2025-12-01,MQ for z/OS,1,8372.01,13.68,13.68
Data and Analytics,2025-12-01,Machine Learning Platform,2,743.86,1.22,9.4
Data and Analytics,2025-12-01,Managed Redis,2,209.85,0.34,3.75
Data and Analytics,2025-12-01,Message Queue,2,139.93,0.23,6.91
Data and Analytics,2025-12-01,Nagios Monitoring,1,67.51,0.11,5.96
Data and Analytics,2025-12-01,NetApp Storage,2,311.08,0.51,6.49
Data and Analytics,2025-12-01,Oracle Database,3,729.32,1.19,7.18
Data and Analytics,2025-12-01,RACF Security,2,7037.23,11.5,15.59
Data and Analytics,2025-12-01,Red Hat Enterprise Linux,1,93.45,0.15,6.98
Data and Analytics,2025-12-01,SMF Analytics,1,3056.14,4.99,10.49
Data and Analytics,2025-12-01,Serverless Functions,3,422.51,0.69,7.53
Data and Analytics,2025-12-01,Streaming Ingest,2,174.77,0.29,8.18
Data and Analytics,2025-12-01,Sysplex Coupling,2,8676.78,14.17,8.9
Data and Analytics,2025-12-01,Tape Virtualisation,1,1993.69,3.26,12.4
Data and Analytics,2025-12-01,Tomcat,2,176.59,0.29,6.42
Data and Analytics,2025-12-01,VMware vSphere,1,471.33,0.77,2.26
Data and Analytics,2025-12-01,VSAM Storage,2,9963.17,16.28,13.4
Data and Analytics,2025-12-01,Veeam Backup,1,238.71,0.39,8.82
Data and Analytics,2025-12-01,WebSphere Application Server,1,152.73,0.25,4.43
Data and Analytics,2025-12-01,Windows Server,1,230.79,0.38,4.58
Data and Analytics,2026-01-01,Block Storage,1,341.27,0.6,-3.27
Data and Analytics,2026-01-01,CICS Transaction Server,1,904.53,1.59,-7.39
Data and Analytics,2026-01-01,Container Registry,1,137.07,0.24,-0.31
Data and Analytics,2026-01-01,Db2 for z/OS,1,11193.0,19.71,-8.46
Data and Analytics,2026-01-01,F5 Load Balancing,1,60.41,0.11,-3.28
Data and Analytics,2026-01-01,IMS Transaction Manager,1,1756.6,3.09,-7.85
Data and Analytics,2026-01-01,JCL Scheduler,1,2000.09,3.52,-9.31
Data and Analytics,2026-01-01,Kubernetes Service,1,44.19,0.08,-3.54
Data and Analytics,2026-01-01,Log Analytics,1,41.59,0.07,-0.67
Data and Analytics,2026-01-01,MQ for z/OS,1,7739.34,13.63,-7.56
Data and Analytics,2026-01-01,Machine Learning Platform,2,729.87,1.29,-1.88
Data and Analytics,2026-01-01,Managed Redis,2,211.28,0.37,0.68
Data and Analytics,2026-01-01,Message Queue,2,138.57,0.24,-0.97
Data and Analytics,2026-01-01,Nagios Monitoring,1,67.03,0.12,-0.71
Data and Analytics,2026-01-01,NetApp Storage,2,318.29,0.56,2.32
Data and Analytics,2026-01-01,Oracle Database,3,713.83,1.26,-2.12
Data and Analytics,2026-01-01,RACF Security,2,6577.0,11.58,-6.54
Data and Analytics,2026-01-01,Red Hat Enterprise Linux,1,91.56,0.16,-2.02
Data and Analytics,2026-01-01,SMF Analytics,1,2848.12,5.02,-6.81
Data and Analytics,2026-01-01,Serverless Functions,3,420.56,0.74,-0.46
Data and Analytics,2026-01-01,Streaming Ingest,2,167.66,0.3,-4.07
Data and Analytics,2026-01-01,Sysplex Coupling,2,8038.81,14.16,-7.35
Data and Analytics,2026-01-01,Tape Virtualisation,1,1891.51,3.33,-5.13
Data and Analytics,2026-01-01,Tomcat,2,167.06,0.29,-5.4
Data and Analytics,2026-01-01,VMware vSphere,1,480.67,0.85,1.98
Data and Analytics,2026-01-01,VSAM Storage,2,9089.76,16.01,-8.77
Data and Analytics,2026-01-01,Veeam Backup,1,234.45,0.41,-1.78
Data and Analytics,2026-01-01,WebSphere Application Server,1,149.57,0.26,-2.07
Data and Analytics,2026-01-01,Windows Server,1,223.84,0.39,-3.01
Data and Analytics,2026-02-01,Block Storage,1,301.81,0.58,-11.56
Data and Analytics,2026-02-01,CICS Transaction Server,1,839.14,1.62,-7.23
Data and Analytics,2026-02-01,Container Registry,1,129.18,0.25,-5.76
Data and Analytics,2026-02-01,Db2 for z/OS,1,10161.94,19.61,-9.21
Data and Analytics,2026-02-01,F5 Load Balancing,1,55.35,0.11,-8.38
Data and Analytics,2026-02-01,IMS Transaction Manager,1,1653.27,3.19,-5.88
Data and Analytics,2026-02-01,JCL Scheduler,1,1844.15,3.56,-7.8
Data and Analytics,2026-02-01,Kubernetes Service,1,41.43,0.08,-6.25
Data and Analytics,2026-02-01,Log Analytics,1,37.24,0.07,-10.46
Data and Analytics,2026-02-01,MQ for z/OS,1,7202.99,13.9,-6.93
Data and Analytics,2026-02-01,Machine Learning Platform,2,648.04,1.25,-11.21
Data and Analytics,2026-02-01,Managed Redis,2,191.44,0.37,-9.39
Data and Analytics,2026-02-01,Message Queue,2,125.41,0.24,-9.5
Data and Analytics,2026-02-01,Nagios Monitoring,1,59.51,0.11,-11.22
Data and Analytics,2026-02-01,NetApp Storage,2,277.46,0.54,-12.83
Data and Analytics,2026-02-01,Oracle Database,3,650.75,1.26,-8.84
Data and Analytics,2026-02-01,RACF Security,2,5799.47,11.19,-11.82
Data and Analytics,2026-02-01,Red Hat Enterprise Linux,1,80.92,0.16,-11.62
Data and Analytics,2026-02-01,SMF Analytics,1,2500.86,4.83,-12.19
Data and Analytics,2026-02-01,Serverless Functions,3,366.73,0.71,-12.8
Data and Analytics,2026-02-01,Streaming Ingest,2,153.56,0.3,-8.41
Data and Analytics,2026-02-01,Sysplex Coupling,2,7411.88,14.3,-7.8
Data and Analytics,2026-02-01,Tape Virtualisation,1,1755.79,3.39,-7.18
Data and Analytics,2026-02-01,Tomcat,2,156.35,0.3,-6.41
Data and Analytics,2026-02-01,VMware vSphere,1,438.05,0.85,-8.87
Data and Analytics,2026-02-01,VSAM Storage,2,8380.65,16.17,-7.8
Data and Analytics,2026-02-01,Veeam Backup,1,213.52,0.41,-8.93
Data and Analytics,2026-02-01,WebSphere Application Server,1,136.44,0.26,-8.78
Data and Analytics,2026-02-01,Windows Server,1,212.1,0.41,-5.24
Data and Analytics,2026-03-01,Block Storage,1,338.05,0.56,12.01
Data and Analytics,2026-03-01,CICS Transaction Server,1,1003.55,1.66,19.59
Data and Analytics,2026-03-01,Container Registry,1,133.7,0.22,3.5
Data and Analytics,2026-03-01,Db2 for z/OS,1,12307.6,20.3,21.11
Data and Analytics,2026-03-01,F5 Load Balancing,1,61.53,0.1,11.17
Data and Analytics,2026-03-01,IMS Transaction Manager,1,1864.2,3.07,12.76
Data and Analytics,2026-03-01,JCL Scheduler,1,2219.52,3.66,20.35
Data and Analytics,2026-03-01,Kubernetes Service,1,46.35,0.08,11.88
Data and Analytics,2026-03-01,Log Analytics,1,39.31,0.06,5.56
Data and Analytics,2026-03-01,MQ for z/OS,1,8281.17,13.66,14.97
Data and Analytics,2026-03-01,Machine Learning Platform,2,714.69,1.18,10.28
Data and Analytics,2026-03-01,Managed Redis,2,213.47,0.35,11.51
Data and Analytics,2026-03-01,Message Queue,2,136.92,0.23,9.18
Data and Analytics,2026-03-01,Nagios Monitoring,1,69.24,0.11,16.35
Data and Analytics,2026-03-01,NetApp Storage,2,307.33,0.51,10.77
Data and Analytics,2026-03-01,Oracle Database,3,715.6,1.18,9.97
Data and Analytics,2026-03-01,RACF Security,2,6724.63,11.09,15.95
Data and Analytics,2026-03-01,Red Hat Enterprise Linux,1,93.36,0.15,15.37
Data and Analytics,2026-03-01,SMF Analytics,1,3086.27,5.09,23.41
Data and Analytics,2026-03-01,Serverless Functions,3,414.11,0.68,12.92
Data and Analytics,2026-03-01,Streaming Ingest,2,173.16,0.29,12.76
Data and Analytics,2026-03-01,Sysplex Coupling,2,8740.14,14.42,17.92
Data and Analytics,2026-03-01,Tape Virtualisation,1,2064.94,3.41,17.61
Data and Analytics,2026-03-01,Tomcat,2,168.79,0.28,7.96
Data and Analytics,2026-03-01,VMware vSphere,1,479.73,0.79,9.51
Data and Analytics,2026-03-01,VSAM Storage,2,9616.93,15.86,14.75
Data and Analytics,2026-03-01,Veeam Backup,1,231.31,0.38,8.33
Data and Analytics,2026-03-01,WebSphere Application Server,1,152.01,0.25,11.41
Data and Analytics,2026-03-01,Windows Server,1,232.82,0.38,9.77
Data and Analytics,2026-04-01,Block Storage,1,343.45,0.61,1.6
Data and Analytics,2026-04-01,CICS Transaction Server,1,879.38,1.55,-12.37
Data and Analytics,2026-04-01,Container Registry,1,133.57,0.24,-0.1
Data and Analytics,2026-04-01,Db2 for z/OS,1,11348.55,20.03,-7.79
Data and Analytics,2026-04-01,F5 Load Balancing,1,59.77,0.11,-2.86
Data and Analytics,2026-04-01,IMS Transaction Manager,1,1814.76,3.2,-2.65
Data and Analytics,2026-04-01,JCL Scheduler,1,2000.01,3.53,-9.89
Data and Analytics,2026-04-01,Kubernetes Service,1,44.95,0.08,-3.02
Data and Analytics,2026-04-01,Log Analytics,1,40.26,0.07,2.42
Data and Analytics,2026-04-01,MQ for z/OS,1,7615.06,13.44,-8.04
Data and Analytics,2026-04-01,Machine Learning Platform,2,687.83,1.21,-3.76
Data and Analytics,2026-04-01,Managed Redis,2,207.37,0.37,-2.86
Data and Analytics,2026-04-01,Message Queue,2,133.12,0.23,-2.78
Data and Analytics,2026-04-01,Nagios Monitoring,1,65.51,0.12,-5.39
Data and Analytics,2026-04-01,NetApp Storage,2,306.2,0.54,-0.37
Data and Analytics,2026-04-01,Oracle Database,3,715.01,1.26,-0.08
Data and Analytics,2026-04-01,RACF Security,2,6177.79,10.9,-8.13
Data and Analytics,2026-04-01,Red Hat Enterprise Linux,1,93.19,0.16,-0.18
Data and Analytics,2026-04-01,SMF Analytics,1,2899.0,5.12,-6.07
Data and Analytics,2026-04-01,Serverless Functions,3,400.04,0.71,-3.4
Data and Analytics,2026-04-01,Streaming Ingest,2,171.42,0.3,-1.0
Data and Analytics,2026-04-01,Sysplex Coupling,2,8307.97,14.66,-4.94
Data and Analytics,2026-04-01,Tape Virtualisation,1,1839.99,3.25,-10.89
Data and Analytics,2026-04-01,Tomcat,2,170.54,0.3,1.04
Data and Analytics,2026-04-01,VMware vSphere,1,470.34,0.83,-1.96
Data and Analytics,2026-04-01,VSAM Storage,2,9148.44,16.14,-4.87
Data and Analytics,2026-04-01,Veeam Backup,1,232.86,0.41,0.67
Data and Analytics,2026-04-01,WebSphere Application Server,1,144.13,0.25,-5.18
Data and Analytics,2026-04-01,Windows Server,1,217.43,0.38,-6.61
Data and Analytics,2026-05-01,Block Storage,1,344.27,0.61,0.24
Data and Analytics,2026-05-01,CICS Transaction Server,1,877.4,1.57,-0.23
Data and Analytics,2026-05-01,Container Registry,1,135.03,0.24,1.09
Data and Analytics,2026-05-01,Db2 for z/OS,1,11098.54,19.81,-2.2
Data and Analytics,2026-05-01,F5 Load Balancing,1,61.93,0.11,3.61
Data and Analytics,2026-05-01,IMS Transaction Manager,1,1763.77,3.15,-2.81
Data and Analytics,2026-05-01,JCL Scheduler,1,1936.18,3.46,-3.19
Data and Analytics,2026-05-01,Kubernetes Service,1,45.54,0.08,1.31
Data and Analytics,2026-05-01,Log Analytics,1,39.54,0.07,-1.79
Data and Analytics,2026-05-01,MQ for z/OS,1,7308.33,13.05,-4.03
Data and Analytics,2026-05-01,Machine Learning Platform,2,705.73,1.26,2.6
Data and Analytics,2026-05-01,Managed Redis,2,209.95,0.37,1.24
Data and Analytics,2026-05-01,Message Queue,2,136.71,0.24,2.7
Data and Analytics,2026-05-01,Nagios Monitoring,1,65.78,0.12,0.41
Data and Analytics,2026-05-01,NetApp Storage,2,299.35,0.53,-2.24
Data and Analytics,2026-05-01,Oracle Database,3,717.49,1.28,0.35
Data and Analytics,2026-05-01,RACF Security,2,6221.09,11.11,0.7
Data and Analytics,2026-05-01,Red Hat Enterprise Linux,1,91.12,0.16,-2.22
Data and Analytics,2026-05-01,SMF Analytics,1,2932.85,5.24,1.17
Data and Analytics,2026-05-01,Serverless Functions,3,409.49,0.73,2.36
Data and Analytics,2026-05-01,Streaming Ingest,2,173.15,0.31,1.01
Data and Analytics,2026-05-01,Sysplex Coupling,2,8217.77,14.67,-1.09
Data and Analytics,2026-05-01,Tape Virtualisation,1,1874.85,3.35,1.89
Data and Analytics,2026-05-01,Tomcat,2,170.85,0.3,0.18
Data and Analytics,2026-05-01,VMware vSphere,1,494.07,0.88,5.05
Data and Analytics,2026-05-01,VSAM Storage,2,9075.44,16.2,-0.8
Data and Analytics,2026-05-01,Veeam Backup,1,233.8,0.42,0.4
Data and Analytics,2026-05-01,WebSphere Application Server,1,151.34,0.27,5.0
Data and Analytics,2026-05-01,Windows Server,1,227.33,0.41,4.55
Data and Analytics,2026-06-01,Block Storage,1,337.49,0.57,-1.97
Data and Analytics,2026-06-01,CICS Transaction Server,1,986.3,1.66,12.41
Data and Analytics,2026-06-01,Container Registry,1,131.95,0.22,-2.28
Data and Analytics,2026-06-01,Db2 for z/OS,1,11965.64,20.17,7.81
Data and Analytics,2026-06-01,F5 Load Balancing,1,60.63,0.1,-2.1
Data and Analytics,2026-06-01,IMS Transaction Manager,1,1905.39,3.21,8.03
Data and Analytics,2026-06-01,JCL Scheduler,1,2145.41,3.62,10.81
Data and Analytics,2026-06-01,Kubernetes Service,1,44.42,0.07,-2.46
Data and Analytics,2026-06-01,Log Analytics,1,39.14,0.07,-1.01
Data and Analytics,2026-06-01,MQ for z/OS,1,8349.08,14.07,14.24
Data and Analytics,2026-06-01,Machine Learning Platform,2,721.3,1.22,2.21
Data and Analytics,2026-06-01,Managed Redis,2,202.07,0.34,-3.75
Data and Analytics,2026-06-01,Message Queue,2,131.82,0.22,-3.58
Data and Analytics,2026-06-01,Nagios Monitoring,1,65.76,0.11,-0.03
Data and Analytics,2026-06-01,NetApp Storage,2,300.68,0.51,0.44
Data and Analytics,2026-06-01,Oracle Database,3,711.59,1.2,-0.82
Data and Analytics,2026-06-01,RACF Security,2,6618.72,11.16,6.39
Data and Analytics,2026-06-01,Red Hat Enterprise Linux,1,90.03,0.15,-1.2
Data and Analytics,2026-06-01,SMF Analytics,1,2951.69,4.98,0.64
Data and Analytics,2026-06-01,Serverless Functions,3,407.94,0.69,-0.38
Data and Analytics,2026-06-01,Streaming Ingest,2,166.86,0.28,-3.63
Data and Analytics,2026-06-01,Sysplex Coupling,2,8451.77,14.25,2.85
Data and Analytics,2026-06-01,Tape Virtualisation,1,1980.41,3.34,5.63
Data and Analytics,2026-06-01,Tomcat,2,164.95,0.28,-3.45
Data and Analytics,2026-06-01,VMware vSphere,1,462.41,0.78,-6.41
Data and Analytics,2026-06-01,VSAM Storage,2,9330.0,15.73,2.8
Data and Analytics,2026-06-01,Veeam Backup,1,227.35,0.38,-2.76
Data and Analytics,2026-06-01,WebSphere Application Server,1,145.83,0.25,-3.64
Data and Analytics,2026-06-01,Windows Server,1,226.88,0.38,-0.2
Data and Analytics,2026-07-01,Block Storage,1,345.02,0.58,2.23
Data and Analytics,2026-07-01,CICS Transaction Server,1,937.96,1.58,-4.9
Data and Analytics,2026-07-01,Container Registry,1,136.34,0.23,3.33
Data and Analytics,2026-07-01,Db2 for z/OS,1,11963.57,20.12,-0.02
Data and Analytics,2026-07-01,F5 Load Balancing,1,62.68,0.11,3.38
Data and Analytics,2026-07-01,IMS Transaction Manager,1,1828.35,3.08,-4.04
Data and Analytics,2026-07-01,JCL Scheduler,1,2066.55,3.48,-3.68
Data and Analytics,2026-07-01,Kubernetes Service,1,46.25,0.08,4.12
Data and Analytics,2026-07-01,Log Analytics,1,42.4,0.07,8.33
Data and Analytics,2026-07-01,MQ for z/OS,1,8099.63,13.62,-2.99
Data and Analytics,2026-07-01,Machine Learning Platform,2,732.86,1.23,1.6
Data and Analytics,2026-07-01,Managed Redis,2,212.46,0.36,5.14
Data and Analytics,2026-07-01,Message Queue,2,142.19,0.24,7.87
Data and Analytics,2026-07-01,Nagios Monitoring,1,66.37,0.11,0.93
Data and Analytics,2026-07-01,NetApp Storage,2,312.18,0.53,3.82
Data and Analytics,2026-07-01,Oracle Database,3,745.61,1.25,4.78
Data and Analytics,2026-07-01,RACF Security,2,6453.16,10.85,-2.5
Data and Analytics,2026-07-01,Red Hat Enterprise Linux,1,95.27,0.16,5.82
Data and Analytics,2026-07-01,SMF Analytics,1,2885.38,4.85,-2.25
Data and Analytics,2026-07-01,Serverless Functions,3,423.82,0.71,3.89
Data and Analytics,2026-07-01,Streaming Ingest,2,174.04,0.29,4.3
Data and Analytics,2026-07-01,Sysplex Coupling,2,8733.41,14.69,3.33
Data and Analytics,2026-07-01,Tape Virtualisation,1,1979.49,3.33,-0.05
Data and Analytics,2026-07-01,Tomcat,2,170.55,0.29,3.39
Data and Analytics,2026-07-01,VMware vSphere,1,478.39,0.8,3.46
Data and Analytics,2026-07-01,VSAM Storage,2,9695.67,16.31,3.92
Data and Analytics,2026-07-01,Veeam Backup,1,243.72,0.41,7.2
Data and Analytics,2026-07-01,WebSphere Application Server,1,150.17,0.25,2.98
Data and Analytics,2026-07-01,Windows Server,1,225.58,0.38,-0.57
Data and Analytics,2026-08-01,Block Storage,1,345.37,0.6,0.1
Data and Analytics,2026-08-01,CICS Transaction Server,1,921.45,1.61,-1.76
Data and Analytics,2026-08-01,Container Registry,1,130.93,0.23,-3.97
Data and Analytics,2026-08-01,Db2 for z/OS,1,11642.33,20.35,-2.69
Data and Analytics,2026-08-01,F5 Load Balancing,1,61.75,0.11,-1.48
Data and Analytics,2026-08-01,IMS Transaction Manager,1,1732.8,3.03,-5.23
Data and Analytics,2026-08-01,JCL Scheduler,1,2031.52,3.55,-1.7
Data and Analytics,2026-08-01,Kubernetes Service,1,44.39,0.08,-4.02
Data and Analytics,2026-08-01,Log Analytics,1,41.37,0.07,-2.43
Data and Analytics,2026-08-01,MQ for z/OS,1,7820.58,13.67,-3.45
Data and Analytics,2026-08-01,Machine Learning Platform,2,725.54,1.27,-1.0
Data and Analytics,2026-08-01,Managed Redis,2,206.35,0.36,-2.88
Data and Analytics,2026-08-01,Message Queue,2,137.81,0.24,-3.08
Data and Analytics,2026-08-01,Nagios Monitoring,1,64.81,0.11,-2.35
Data and Analytics,2026-08-01,NetApp Storage,2,303.23,0.53,-2.87
Data and Analytics,2026-08-01,Oracle Database,3,716.59,1.25,-3.89
Data and Analytics,2026-08-01,RACF Security,2,6223.02,10.88,-3.57
Data and Analytics,2026-08-01,Red Hat Enterprise Linux,1,90.36,0.16,-5.15
Data and Analytics,2026-08-01,SMF Analytics,1,2982.45,5.21,3.36
Data and Analytics,2026-08-01,Serverless Functions,3,411.63,0.72,-2.88
Data and Analytics,2026-08-01,Streaming Ingest,2,167.91,0.29,-3.52
Data and Analytics,2026-08-01,Sysplex Coupling,2,8460.49,14.79,-3.13
Data and Analytics,2026-08-01,Tape Virtualisation,1,1914.18,3.35,-3.3
Data and Analytics,2026-08-01,Tomcat,2,169.47,0.3,-0.63
Data and Analytics,2026-08-01,VMware vSphere,1,470.84,0.82,-1.58
Data and Analytics,2026-08-01,VSAM Storage,2,8784.41,15.35,-9.4
Data and Analytics,2026-08-01,Veeam Backup,1,224.58,0.39,-7.85
Data and Analytics,2026-08-01,WebSphere Application Server,1,150.08,0.26,-0.06
Data and Analytics,2026-08-01,Windows Server,1,233.89,0.41,3.68
Data and Analytics,2026-09-01,Block Storage,1,344.82,0.57,-0.16
Data and Analytics,2026-09-01,CICS Transaction Server,1,943.42,1.57,2.38
Data and Analytics,2026-09-01,Container Registry,1,134.95,0.22,3.07
Data and Analytics,2026-09-01,Db2 for z/OS,1,12387.86,20.55,6.4
Data and Analytics,2026-09-01,F5 Load Balancing,1,59.05,0.1,-4.37
Data and Analytics,2026-09-01,IMS Transaction Manager,1,1854.35,3.08,7.01
Data and Analytics,2026-09-01,JCL Scheduler,1,2245.62,3.73,10.54
Data and Analytics,2026-09-01,Kubernetes Service,1,45.05,0.07,1.49
Data and Analytics,2026-09-01,Log Analytics,1,38.43,0.06,-7.11
Data and Analytics,2026-09-01,MQ for z/OS,1,8032.92,13.33,2.72
Data and Analytics,2026-09-01,Machine Learning Platform,2,718.27,1.19,-1.0
Data and Analytics,2026-09-01,Managed Redis,2,204.02,0.34,-1.13
Data and Analytics,2026-09-01,Message Queue,2,135.9,0.23,-1.39
Data and Analytics,2026-09-01,Nagios Monitoring,1,65.49,0.11,1.05
Data and Analytics,2026-09-01,NetApp Storage,2,299.51,0.5,-1.23
Data and Analytics,2026-09-01,Oracle Database,3,700.83,1.16,-2.2
Data and Analytics,2026-09-01,RACF Security,2,6774.31,11.24,8.86
Data and Analytics,2026-09-01,Red Hat Enterprise Linux,1,89.57,0.15,-0.87
Data and Analytics,2026-09-01,SMF Analytics,1,3067.34,5.09,2.85
Data and Analytics,2026-09-01,Serverless Functions,3,397.32,0.66,-3.48
Data and Analytics,2026-09-01,Streaming Ingest,2,164.26,0.27,-2.17
Data and Analytics,2026-09-01,Sysplex Coupling,2,8941.09,14.83,5.68
Data and Analytics,2026-09-01,Tape Virtualisation,1,2052.1,3.4,7.21
Data and Analytics,2026-09-01,Tomcat,2,167.77,0.28,-1.0
Data and Analytics,2026-09-01,VMware vSphere,1,483.55,0.8,2.7
Data and Analytics,2026-09-01,VSAM Storage,2,9321.89,15.47,6.12
Data and Analytics,2026-09-01,Veeam Backup,1,226.35,0.38,0.79
Data and Analytics,2026-09-01,WebSphere Application Server,1,148.64,0.25,-0.96
Data and Analytics,2026-09-01,Windows Server,1,226.74,0.38,-3.06
Digital Channels,2025-10-01,Active Directory,2,502.16,1.0,
Digital Channels,2025-10-01,CICS Transaction Server,4,12587.5,25.15,
Digital Channels,2025-10-01,COBOL Batch,3,8548.26,17.08,
Digital Channels,2025-10-01,Container Registry,1,314.18,0.63,
Digital Channels,2025-10-01,Content Delivery,1,794.82,1.59,
Digital Channels,2025-10-01,Data Warehouse,1,172.58,0.34,
Digital Channels,2025-10-01,F5 Load Balancing,1,410.15,0.82,
Digital Channels,2025-10-01,JCL Scheduler,1,4465.56,8.92,
Digital Channels,2025-10-01,MQ for z/OS,2,5267.18,10.53,
Digital Channels,2025-10-01,Machine Learning Platform,1,175.17,0.35,
Digital Channels,2025-10-01,Managed PostgreSQL,1,44.45,0.09,
Digital Channels,2025-10-01,Managed Redis,1,229.56,0.46,
Digital Channels,2025-10-01,Nagios Monitoring,2,530.93,1.06,
Digital Channels,2025-10-01,NetApp Storage,3,2394.03,4.78,
Digital Channels,2025-10-01,Red Hat Enterprise Linux,1,54.0,0.11,
Digital Channels,2025-10-01,SMF Analytics,2,3025.2,6.05,
Digital Channels,2025-10-01,SQL Server,1,414.05,0.83,
Digital Channels,2025-10-01,Streaming Ingest,1,169.65,0.34,
Digital Channels,2025-10-01,Sysplex Coupling,2,4877.83,9.75,
Digital Channels,2025-10-01,Tape Virtualisation,1,2775.04,5.55,
Digital Channels,2025-10-01,Tomcat,2,680.92,1.36,
Digital Channels,2025-10-01,Veeam Backup,1,76.08,0.15,
Digital Channels,2025-10-01,WebSphere Application Server,1,188.61,0.38,
Digital Channels,2025-10-01,Windows Server,1,525.52,1.05,
Digital Channels,2025-10-01,z/OS Connect,1,820.15,1.64,
Digital Channels,2025-11-01,Active Directory,2,475.39,1.02,-5.33
Digital Channels,2025-11-01,CICS Transaction Server,4,11659.48,25.0,-7.37
Digital Channels,2025-11-01,COBOL Batch,3,7920.7,16.98,-7.34
Digital Channels,2025-11-01,Container Registry,1,293.22,0.63,-6.67
Digital Channels,2025-11-01,Content Delivery,1,759.78,1.63,-4.41
Digital Channels,2025-11-01,Data Warehouse,1,150.07,0.32,-13.04
Digital Channels,2025-11-01,F5 Load Balancing,1,365.94,0.78,-10.78
Digital Channels,2025-11-01,JCL Scheduler,1,4251.75,9.12,-4.79
Digital Channels,2025-11-01,MQ for z/OS,2,4827.39,10.35,-8.35
Digital Channels,2025-11-01,Machine Learning Platform,1,161.22,0.35,-7.96
Digital Channels,2025-11-01,Managed PostgreSQL,1,40.98,0.09,-7.81
Digital Channels,2025-11-01,Managed Redis,1,212.24,0.46,-7.54
Digital Channels,2025-11-01,Nagios Monitoring,2,509.51,1.09,-4.03
Digital Channels,2025-11-01,NetApp Storage,3,2268.9,4.87,-5.23
Digital Channels,2025-11-01,Red Hat Enterprise Linux,1,50.78,0.11,-5.96
Digital Channels,2025-11-01,SMF Analytics,2,2657.68,5.7,-12.15
Digital Channels,2025-11-01,SQL Server,1,383.89,0.82,-7.28
Digital Channels,2025-11-01,Streaming Ingest,1,158.69,0.34,-6.46
Digital Channels,2025-11-01,Sysplex Coupling,2,4749.08,10.18,-2.64
Digital Channels,2025-11-01,Tape Virtualisation,1,2565.68,5.5,-7.54
Digital Channels,2025-11-01,Tomcat,2,643.54,1.38,-5.49
Digital Channels,2025-11-01,Veeam Backup,1,70.48,0.15,-7.36
Digital Channels,2025-11-01,WebSphere Application Server,1,177.14,0.38,-6.08
Digital Channels,2025-11-01,Windows Server,1,515.79,1.11,-1.85
Digital Channels,2025-11-01,z/OS Connect,1,764.56,1.64,-6.78
Digital Channels,2025-12-01,Active Directory,2,488.1,0.94,2.67
Digital Channels,2025-12-01,CICS Transaction Server,4,13242.88,25.38,13.58
Digital Channels,2025-12-01,COBOL Batch,3,8938.25,17.13,12.85
Digital Channels,2025-12-01,Container Registry,1,306.87,0.59,4.66
Digital Channels,2025-12-01,Content Delivery,1,793.67,1.52,4.46
Digital Channels,2025-12-01,Data Warehouse,1,163.8,0.31,9.15
Digital Channels,2025-12-01,F5 Load Balancing,1,398.54,0.76,8.91
Digital Channels,2025-12-01,JCL Scheduler,1,4724.91,9.06,11.13
Digital Channels,2025-12-01,MQ for z/OS,2,5321.53,10.2,10.24
Digital Channels,2025-12-01,Machine Learning Platform,1,174.31,0.33,8.12
Digital Channels,2025-12-01,Managed PostgreSQL,1,42.96,0.08,4.83
Digital Channels,2025-12-01,Managed Redis,1,229.84,0.44,8.29
Digital Channels,2025-12-01,Nagios Monitoring,2,537.05,1.03,5.41
Digital Channels,2025-12-01,NetApp Storage,3,2385.85,4.57,5.15
Digital Channels,2025-12-01,Red Hat Enterprise Linux,1,54.38,0.1,7.09
Digital Channels,2025-12-01,SMF Analytics,2,3191.75,6.12,20.1
Digital Channels,2025-12-01,SQL Server,1,419.5,0.8,9.28
Digital Channels,2025-12-01,Streaming Ingest,1,169.8,0.33,7.0
Digital Channels,2025-12-01,Sysplex Coupling,2,5254.41,10.07,10.64
Digital Channels,2025-12-01,Tape Virtualisation,1,2966.06,5.68,15.61
