declaration_id,member_id,authority,register_held_by,ward,role,committee,declaration_category,declaration_detail,withheld,registered_date,last_updated_date
D-001084,M-00349,Cambridgeshire County Council,Cambridgeshire County Council,Godmanchester,Committee Member,(none),Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-10-12,2024-04-24
D-001085,M-00350,Huntingdon Town Council,Huntingdonshire District Council,Little Paxton,Vice-Chair,Finance,Directorship,Directorship declared in the register,False,2023-09-06,2024-05-25
D-001086,M-00351,South Cambridgeshire District Council,South Cambridgeshire District Council,Buckden,Mayor,Corporate Governance,Land and property in the area,Land and property in the area declared in the register,False,2023-10-12,2024-10-19
D-001087,M-00351,South Cambridgeshire District Council,South Cambridgeshire District Council,Buckden,Mayor,Corporate Governance,Sponsorship,Sponsorship declared in the register,False,2025-09-17,2025-09-18
D-001088,M-00351,South Cambridgeshire District Council,South Cambridgeshire District Council,Buckden,Mayor,Planning,Corporate tenancies,Corporate tenancies declared in the register,False,2023-11-13,2024-06-10
D-001089,M-00351,South Cambridgeshire District Council,South Cambridgeshire District Council,Buckden,Mayor,Finance,Corporate tenancies,Corporate tenancies declared in the register,False,2025-04-30,2026-02-03
D-001090,M-00351,South Cambridgeshire District Council,South Cambridgeshire District Council,Buckden,Mayor,Licensing,Land and property in the area,Land and property in the area declared in the register,False,2024-06-04,2025-06-12
D-001091,M-00352,Cambridgeshire County Council,Cambridgeshire County Council,Yaxley,Councillor,Employment,Land and property in the area,Land and property in the area declared in the register,False,2025-05-13,2026-03-13
D-001092,M-00353,St Ives Town Council,Huntingdonshire District Council,St Ives East,Committee Member,(none),Land and property in the area,Land and property in the area declared in the register,False,2024-04-11,2024-10-01
D-001093,M-00353,St Ives Town Council,Huntingdonshire District Council,St Ives East,Committee Member,Standards,Land and property in the area,Land and property in the area declared in the register,False,2024-10-01,2024-11-08
D-001094,M-00353,St Ives Town Council,Huntingdonshire District Council,St Ives East,Committee Member,Health and Wellbeing,Directorship,Directorship declared in the register,False,2024-05-18,2025-01-28
D-001095,M-00353,St Ives Town Council,Huntingdonshire District Council,St Ives East,Committee Member,Overview and Scrutiny,Trade union membership,Trade union membership declared in the register,False,2025-07-10,2026-07-18
D-001096,M-00354,Huntingdon Town Council,Huntingdonshire District Council,Warboys,Councillor,Overview and Scrutiny,Securities,Securities declared in the register,False,2024-02-22,2025-01-23
D-001097,M-00354,Huntingdon Town Council,Huntingdonshire District Council,Warboys,Councillor,Corporate Governance,Trade union membership,Trade union membership declared in the register,False,2025-01-05,2026-01-29
D-001098,M-00355,Huntingdonshire District Council,Huntingdonshire District Council,Godmanchester,Councillor,Standards,Contracts with the authority,Contracts with the authority declared in the register,False,2023-11-26,2024-12-14
D-001099,M-00355,Huntingdonshire District Council,Huntingdonshire District Council,Godmanchester,Councillor,Planning,Trade union membership,Trade union membership declared in the register,False,2023-11-28,2024-10-23
D-001100,M-00355,Huntingdonshire District Council,Huntingdonshire District Council,Godmanchester,Councillor,Audit and Governance,Directorship,Directorship declared in the register,False,2023-06-16,2024-06-07
D-001101,M-00355,Huntingdonshire District Council,Huntingdonshire District Council,Godmanchester,Councillor,Standards,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-08-22,2026-03-19
D-001102,M-00355,Huntingdonshire District Council,Huntingdonshire District Council,Godmanchester,Councillor,Environment,Land and property in the area,Land and property in the area declared in the register,False,2024-02-03,2024-05-06
D-001103,M-00356,Ramsey Town Council,Huntingdonshire District Council,Huntingdon East,Councillor,Employment,Sponsorship,Sponsorship declared in the register,False,2024-04-05,2024-06-18
D-001104,M-00356,Ramsey Town Council,Huntingdonshire District Council,Huntingdon East,Councillor,Planning,Corporate tenancies,Corporate tenancies declared in the register,False,2025-08-16,2026-04-21
D-001105,M-00356,Ramsey Town Council,Huntingdonshire District Council,Huntingdon East,Councillor,Health and Wellbeing,Land and property in the area,Land and property in the area declared in the register,False,2023-05-04,2023-11-11
D-001106,M-00357,Cambridgeshire County Council,Cambridgeshire County Council,Huntingdon North,Committee Member,Corporate Governance,Directorship,Directorship declared in the register,False,2025-02-05,2025-06-13
D-001107,M-00357,Cambridgeshire County Council,Cambridgeshire County Council,Huntingdon North,Committee Member,Overview and Scrutiny,"Employment, office, trade or profession",Employment declared in the register,False,2025-03-04,2026-02-22
D-001108,M-00357,Cambridgeshire County Council,Cambridgeshire County Council,Huntingdon North,Committee Member,Audit and Governance,Licences to occupy land,Licences to occupy land declared in the register,False,2025-06-22,2026-04-17
D-001109,M-00357,Cambridgeshire County Council,Cambridgeshire County Council,Huntingdon North,Committee Member,Health and Wellbeing,Directorship,Directorship declared in the register,False,2023-12-28,2024-09-17
D-001110,M-00357,Cambridgeshire County Council,Cambridgeshire County Council,Huntingdon North,Committee Member,Audit and Governance,Land and property in the area,Land and property in the area declared in the register,False,2024-05-02,2024-06-08
D-001111,M-00358,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Committee Member,Corporate Governance,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2024-01-11,2025-01-13
D-001112,M-00358,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Committee Member,Standards,Securities,Securities declared in the register,False,2024-01-14,2024-08-27
D-001113,M-00358,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Committee Member,Standards,Trade union membership,Trade union membership declared in the register,False,2025-04-29,2025-06-30
D-001114,M-00358,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Committee Member,Audit and Governance,Land and property in the area,Land and property in the area declared in the register,False,2024-12-17,2025-06-06
D-001115,M-00358,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Committee Member,Health and Wellbeing,Corporate tenancies,Corporate tenancies declared in the register,False,2023-09-02,2023-09-20
D-001116,M-00359,Huntingdonshire District Council,Huntingdonshire District Council,Brampton,Councillor,Health and Wellbeing,Sponsorship,Sponsorship declared in the register,False,2023-12-10,2024-03-26
D-001117,M-00359,Huntingdonshire District Council,Huntingdonshire District Council,Brampton,Councillor,Licensing,Licences to occupy land,Licences to occupy land declared in the register,False,2024-06-17,2025-03-11
D-001118,M-00359,Huntingdonshire District Council,Huntingdonshire District Council,Brampton,Councillor,(none),Corporate tenancies,Corporate tenancies declared in the register,False,2025-06-12,2026-05-30
D-001119,M-00360,Huntingdon Town Council,Huntingdonshire District Council,Huntingdon North,Vice-Chair,Environment,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2024-06-16,2025-02-18
D-001120,M-00360,Huntingdon Town Council,Huntingdonshire District Council,Huntingdon North,Vice-Chair,Health and Wellbeing,"Employment, office, trade or profession",Employment declared in the register,False,2024-12-27,2025-12-27
D-001121,M-00361,St Ives Town Council,Huntingdonshire District Council,Hemingfords,Vice-Chair,Corporate Governance,Directorship,Directorship declared in the register,False,2025-04-03,2025-12-13
D-001122,M-00361,St Ives Town Council,Huntingdonshire District Council,Hemingfords,Vice-Chair,Corporate Governance,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-12-13,2024-06-07
D-001123,M-00361,St Ives Town Council,Huntingdonshire District Council,Hemingfords,Vice-Chair,Audit and Governance,Directorship,Directorship declared in the register,False,2025-06-03,2026-01-31
D-001124,M-00361,St Ives Town Council,Huntingdonshire District Council,Hemingfords,Vice-Chair,Employment,Trade union membership,Trade union membership declared in the register,False,2024-02-19,2025-03-16
D-001125,M-00361,St Ives Town Council,Huntingdonshire District Council,Hemingfords,Vice-Chair,Corporate Governance,Sensitive interest (withheld under s.32),,True,2023-06-25,2024-05-19
D-001126,M-00362,Huntingdonshire District Council,Huntingdonshire District Council,Warboys,Committee Member,Overview and Scrutiny,Licences to occupy land,Licences to occupy land declared in the register,False,2023-05-25,2023-12-23
D-001127,M-00362,Huntingdonshire District Council,Huntingdonshire District Council,Warboys,Committee Member,Licensing,Sponsorship,Sponsorship declared in the register,False,2024-03-30,2024-06-20
D-001128,M-00362,Huntingdonshire District Council,Huntingdonshire District Council,Warboys,Committee Member,Audit and Governance,"Employment, office, trade or profession",Employment declared in the register,False,2023-12-17,2024-11-20
D-001129,M-00363,Huntingdon Town Council,Huntingdonshire District Council,St Neots Eynesbury,Cabinet Member,Employment,Licences to occupy land,Licences to occupy land declared in the register,False,2023-05-30,2024-04-27
D-001130,M-00364,Cambridgeshire County Council,Cambridgeshire County Council,Godmanchester,Chair,Corporate Governance,Securities,Securities declared in the register,False,2023-11-19,2024-11-24
D-001131,M-00365,St Ives Town Council,Huntingdonshire District Council,Ramsey,Councillor,(none),Land and property in the area,Land and property in the area declared in the register,False,2024-08-14,2024-09-04
D-001132,M-00365,St Ives Town Council,Huntingdonshire District Council,Ramsey,Councillor,Overview and Scrutiny,Securities,Securities declared in the register,False,2023-10-12,2024-05-17
D-001133,M-00365,St Ives Town Council,Huntingdonshire District Council,Ramsey,Councillor,Overview and Scrutiny,Land and property in the area,Land and property in the area declared in the register,False,2025-04-03,2026-02-04
D-001134,M-00366,Ramsey Town Council,Huntingdonshire District Council,Somersham,Councillor,Employment,Membership of a political party,Membership of a political party declared in the register,False,2024-09-03,2025-02-26
D-001135,M-00366,Ramsey Town Council,Huntingdonshire District Council,Somersham,Councillor,Planning,Sponsorship,Sponsorship declared in the register,False,2024-01-08,2025-02-05
D-001136,M-00366,Ramsey Town Council,Huntingdonshire District Council,Somersham,Councillor,Employment,Trade union membership,Trade union membership declared in the register,False,2023-11-16,2024-02-07
D-001137,M-00366,Ramsey Town Council,Huntingdonshire District Council,Somersham,Councillor,Finance,Licences to occupy land,Licences to occupy land declared in the register,False,2025-05-31,2025-10-24
D-001138,M-00367,Huntingdon Town Council,Huntingdonshire District Council,St Ives South,Committee Member,Corporate Governance,"Employment, office, trade or profession",Employment declared in the register,False,2024-06-20,2024-08-31
D-001139,M-00368,Huntingdon Town Council,Huntingdonshire District Council,Little Paxton,Committee Member,Finance,"Employment, office, trade or profession",Employment declared in the register,False,2023-07-25,2024-06-26
D-001140,M-00368,Huntingdon Town Council,Huntingdonshire District Council,Little Paxton,Committee Member,Licensing,Trade union membership,Trade union membership declared in the register,False,2024-02-06,2025-01-08
D-001141,M-00369,St Ives Town Council,Huntingdonshire District Council,Alconbury,Committee Member,Licensing,Corporate tenancies,Corporate tenancies declared in the register,False,2024-01-16,2024-10-05
D-001142,M-00369,St Ives Town Council,Huntingdonshire District Council,Alconbury,Committee Member,Employment,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-07-12,2024-06-29
D-001143,M-00370,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Councillor,Finance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-05-10,2023-12-23
D-001144,M-00371,St Ives Town Council,Huntingdonshire District Council,Brampton,Councillor,Health and Wellbeing,Contracts with the authority,Contracts with the authority declared in the register,False,2025-03-06,2025-09-10
D-001145,M-00372,Huntingdon Town Council,Huntingdonshire District Council,St Ives South,Councillor,Environment,Licences to occupy land,Licences to occupy land declared in the register,False,2024-06-28,2024-10-21
D-001146,M-00372,Huntingdon Town Council,Huntingdonshire District Council,St Ives South,Councillor,Planning,Trade union membership,Trade union membership declared in the register,False,2025-09-21,2026-08-25
D-001147,M-00372,Huntingdon Town Council,Huntingdonshire District Council,St Ives South,Councillor,Planning,Land and property in the area,Land and property in the area declared in the register,False,2023-12-17,2025-01-10
D-001148,M-00372,Huntingdon Town Council,Huntingdonshire District Council,St Ives South,Councillor,Corporate Governance,Trade union membership,Trade union membership declared in the register,False,2023-12-27,2024-08-01
D-001149,M-00372,Huntingdon Town Council,Huntingdonshire District Council,St Ives South,Councillor,Audit and Governance,"Employment, office, trade or profession",Employment declared in the register,False,2023-08-11,2024-06-05
D-001150,M-00373,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives South,Councillor,Standards,Sensitive interest (withheld under s.32),,True,2023-07-22,2023-12-18
D-001151,M-00373,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives South,Councillor,(none),Trade union membership,Trade union membership declared in the register,False,2024-01-28,2024-02-25
D-001152,M-00374,Huntingdonshire District Council,Huntingdonshire District Council,St Neots East,Councillor,Standards,Securities,Securities declared in the register,False,2024-05-17,2024-08-31
D-001153,M-00374,Huntingdonshire District Council,Huntingdonshire District Council,St Neots East,Councillor,Environment,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-12-08,2024-03-15
D-001154,M-00374,Huntingdonshire District Council,Huntingdonshire District Council,St Neots East,Councillor,Audit and Governance,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-10-30,2024-09-16
D-001155,M-00374,Huntingdonshire District Council,Huntingdonshire District Council,St Neots East,Councillor,Standards,Trade union membership,Trade union membership declared in the register,False,2025-05-30,2025-06-19
D-001156,M-00375,South Cambridgeshire District Council,South Cambridgeshire District Council,Warboys,Councillor,Planning,Licences to occupy land,Licences to occupy land declared in the register,False,2023-12-30,2024-01-30
D-001157,M-00375,South Cambridgeshire District Council,South Cambridgeshire District Council,Warboys,Councillor,Licensing,Sensitive interest (withheld under s.32),,True,2024-12-16,2025-02-06
D-001158,M-00375,South Cambridgeshire District Council,South Cambridgeshire District Council,Warboys,Councillor,Licensing,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-08-24,2024-02-12
D-001159,M-00375,South Cambridgeshire District Council,South Cambridgeshire District Council,Warboys,Councillor,Employment,Corporate tenancies,Corporate tenancies declared in the register,False,2025-09-21,2026-03-07
D-001160,M-00376,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Chair,(none),Securities,Securities declared in the register,False,2025-03-12,2025-07-19
D-001161,M-00376,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Chair,(none),"Employment, office, trade or profession",Employment declared in the register,False,2025-07-23,2026-08-06
D-001162,M-00376,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Chair,Employment,Directorship,Directorship declared in the register,False,2025-08-04,2025-08-21
D-001163,M-00376,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Chair,Finance,Licences to occupy land,Licences to occupy land declared in the register,False,2024-06-17,2025-03-26
D-001164,M-00376,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Chair,Audit and Governance,Sponsorship,Sponsorship declared in the register,False,2024-02-20,2024-12-20
D-001165,M-00377,Huntingdon Town Council,Huntingdonshire District Council,Little Paxton,Councillor,Audit and Governance,Licences to occupy land,Licences to occupy land declared in the register,False,2025-07-22,2026-02-22
D-001166,M-00377,Huntingdon Town Council,Huntingdonshire District Council,Little Paxton,Councillor,Environment,Sponsorship,Sponsorship declared in the register,False,2023-08-01,2024-07-17
D-001167,M-00378,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon East,Councillor,Finance,Sponsorship,Sponsorship declared in the register,False,2024-08-30,2025-06-16
D-001168,M-00378,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon East,Councillor,Planning,Sensitive interest (withheld under s.32),,True,2025-02-16,2025-10-17
D-001169,M-00379,St Ives Town Council,Huntingdonshire District Council,Somersham,Councillor,Health and Wellbeing,Licences to occupy land,Licences to occupy land declared in the register,False,2025-02-27,2025-09-29
D-001170,M-00379,St Ives Town Council,Huntingdonshire District Council,Somersham,Councillor,Finance,Membership of a political party,Membership of a political party declared in the register,False,2025-03-23,2025-11-18
D-001171,M-00379,St Ives Town Council,Huntingdonshire District Council,Somersham,Councillor,(none),Sponsorship,Sponsorship declared in the register,False,2024-03-14,2024-07-11
D-001172,M-00379,St Ives Town Council,Huntingdonshire District Council,Somersham,Councillor,(none),Sensitive interest (withheld under s.32),,True,2025-02-23,2025-11-05
D-001173,M-00379,St Ives Town Council,Huntingdonshire District Council,Somersham,Councillor,Audit and Governance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-03-04,2025-12-03
D-001174,M-00380,Cambridgeshire County Council,Cambridgeshire County Council,Brampton,Councillor,Environment,Contracts with the authority,Contracts with the authority declared in the register,False,2024-06-27,2025-07-01
D-001175,M-00381,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,Health and Wellbeing,Trade union membership,Trade union membership declared in the register,False,2025-10-07,2026-10-08
D-001176,M-00381,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,Licensing,Directorship,Directorship declared in the register,False,2025-03-23,2026-02-01
D-001177,M-00381,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,Planning,Sponsorship,Sponsorship declared in the register,False,2025-08-28,2025-12-18
D-001178,M-00382,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,Planning,Membership of a political party,Membership of a political party declared in the register,False,2023-06-10,2024-07-12
D-001179,M-00382,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,Planning,Trade union membership,Trade union membership declared in the register,False,2023-07-03,2024-06-17
D-001180,M-00382,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,(none),Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2024-05-28,2025-02-08
D-001181,M-00382,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,Employment,Licences to occupy land,Licences to occupy land declared in the register,False,2023-09-09,2024-05-15
D-001182,M-00383,St Ives Town Council,Huntingdonshire District Council,St Ives West,Chair,Standards,Securities,Securities declared in the register,False,2023-05-19,2023-10-10
D-001183,M-00383,St Ives Town Council,Huntingdonshire District Council,St Ives West,Chair,Overview and Scrutiny,Land and property in the area,Land and property in the area declared in the register,False,2023-11-23,2024-03-03
D-001184,M-00383,St Ives Town Council,Huntingdonshire District Council,St Ives West,Chair,Licensing,Sponsorship,Sponsorship declared in the register,False,2023-09-12,2023-11-25
D-001185,M-00383,St Ives Town Council,Huntingdonshire District Council,St Ives West,Chair,Audit and Governance,Trade union membership,Trade union membership declared in the register,False,2024-06-21,2024-07-11
D-001186,M-00383,St Ives Town Council,Huntingdonshire District Council,St Ives West,Chair,Finance,Membership of a political party,Membership of a political party declared in the register,False,2023-12-26,2025-01-14
D-001187,M-00384,Ramsey Town Council,Huntingdonshire District Council,Fenstanton,Committee Member,Health and Wellbeing,Directorship,Directorship declared in the register,False,2023-09-02,2023-10-16
D-001188,M-00385,South Cambridgeshire District Council,South Cambridgeshire District Council,Sawtry,Mayor,Employment,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-04-18,2025-10-28
D-001189,M-00385,South Cambridgeshire District Council,South Cambridgeshire District Council,Sawtry,Mayor,Standards,Land and property in the area,Land and property in the area declared in the register,False,2024-11-07,2025-04-01
D-001190,M-00385,South Cambridgeshire District Council,South Cambridgeshire District Council,Sawtry,Mayor,Audit and Governance,Sponsorship,Sponsorship declared in the register,False,2024-03-24,2024-09-26
D-001191,M-00385,South Cambridgeshire District Council,South Cambridgeshire District Council,Sawtry,Mayor,Health and Wellbeing,"Employment, office, trade or profession",Employment declared in the register,False,2023-09-30,2023-11-29
D-001192,M-00385,South Cambridgeshire District Council,South Cambridgeshire District Council,Sawtry,Mayor,Licensing,Trade union membership,Trade union membership declared in the register,False,2025-05-31,2026-04-03
D-001193,M-00386,Huntingdonshire District Council,Huntingdonshire District Council,Brampton,Councillor,Health and Wellbeing,Land and property in the area,Land and property in the area declared in the register,False,2025-06-28,2025-09-27
D-001194,M-00386,Huntingdonshire District Council,Huntingdonshire District Council,Brampton,Councillor,Corporate Governance,Directorship,Directorship declared in the register,False,2025-08-15,2026-07-07
D-001195,M-00386,Huntingdonshire District Council,Huntingdonshire District Council,Brampton,Councillor,Environment,Corporate tenancies,Corporate tenancies declared in the register,False,2024-04-14,2025-02-13
D-001196,M-00386,Huntingdonshire District Council,Huntingdonshire District Council,Brampton,Councillor,Finance,Securities,Securities declared in the register,False,2024-12-18,2025-10-16
D-001197,M-00386,Huntingdonshire District Council,Huntingdonshire District Council,Brampton,Councillor,Planning,Trade union membership,Trade union membership declared in the register,False,2025-01-03,2025-04-28
D-001198,M-00387,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives West,Councillor,Audit and Governance,Land and property in the area,Land and property in the area declared in the register,False,2024-07-28,2025-01-30
D-001199,M-00387,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives West,Councillor,Employment,Membership of a political party,Membership of a political party declared in the register,False,2025-02-25,2025-08-17
D-001200,M-00387,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives West,Councillor,Overview and Scrutiny,Land and property in the area,Land and property in the area declared in the register,False,2025-10-06,2026-01-24
D-001201,M-00387,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives West,Councillor,Environment,Land and property in the area,Land and property in the area declared in the register,False,2023-07-29,2023-08-09
D-001202,M-00388,Ramsey Town Council,Huntingdonshire District Council,Brampton,Committee Member,Standards,Directorship,Directorship declared in the register,False,2024-09-06,2025-09-06
D-001203,M-00388,Ramsey Town Council,Huntingdonshire District Council,Brampton,Committee Member,Standards,Directorship,Directorship declared in the register,False,2023-08-15,2024-07-02
D-001204,M-00388,Ramsey Town Council,Huntingdonshire District Council,Brampton,Committee Member,Planning,Sensitive interest (withheld under s.32),,True,2024-01-03,2024-09-05
D-001205,M-00388,Ramsey Town Council,Huntingdonshire District Council,Brampton,Committee Member,Environment,Membership of a political party,Membership of a political party declared in the register,False,2024-01-17,2025-01-02
D-001206,M-00388,Ramsey Town Council,Huntingdonshire District Council,Brampton,Committee Member,Finance,Corporate tenancies,Corporate tenancies declared in the register,False,2025-05-17,2026-06-15
D-001207,M-00389,Huntingdonshire District Council,Huntingdonshire District Council,Yaxley,Committee Member,(none),Corporate tenancies,Corporate tenancies declared in the register,False,2023-10-14,2024-04-27
D-001208,M-00389,Huntingdonshire District Council,Huntingdonshire District Council,Yaxley,Committee Member,Health and Wellbeing,Land and property in the area,Land and property in the area declared in the register,False,2024-04-23,2024-10-17
D-001209,M-00389,Huntingdonshire District Council,Huntingdonshire District Council,Yaxley,Committee Member,Environment,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-02-01,2025-04-28
D-001210,M-00389,Huntingdonshire District Council,Huntingdonshire District Council,Yaxley,Committee Member,(none),Contracts with the authority,Contracts with the authority declared in the register,False,2025-06-20,2026-05-17
D-001211,M-00390,Ramsey Town Council,Huntingdonshire District Council,Warboys,Committee Member,Health and Wellbeing,"Employment, office, trade or profession",Employment declared in the register,False,2025-05-15,2025-11-22
D-001212,M-00391,Huntingdon Town Council,Huntingdonshire District Council,Buckden,Chair,Planning,Land and property in the area,Land and property in the area declared in the register,False,2023-11-12,2024-05-23
D-001213,M-00391,Huntingdon Town Council,Huntingdonshire District Council,Buckden,Chair,Audit and Governance,Contracts with the authority,Contracts with the authority declared in the register,False,2024-09-09,2025-04-23
D-001214,M-00391,Huntingdon Town Council,Huntingdonshire District Council,Buckden,Chair,Environment,Sponsorship,Sponsorship declared in the register,False,2023-06-22,2023-09-17
D-001215,M-00391,Huntingdon Town Council,Huntingdonshire District Council,Buckden,Chair,Licensing,Trade union membership,Trade union membership declared in the register,False,2024-02-16,2025-01-11
D-001216,M-00391,Huntingdon Town Council,Huntingdonshire District Council,Buckden,Chair,Planning,Sensitive interest (withheld under s.32),,True,2024-09-05,2025-06-02
D-001217,M-00392,Cambridgeshire County Council,Cambridgeshire County Council,Huntingdon East,Committee Member,Finance,Licences to occupy land,Licences to occupy land declared in the register,False,2025-05-10,2025-08-01
D-001218,M-00393,South Cambridgeshire District Council,South Cambridgeshire District Council,Warboys,Councillor,Overview and Scrutiny,Corporate tenancies,Corporate tenancies declared in the register,False,2025-01-19,2025-01-23
D-001219,M-00393,South Cambridgeshire District Council,South Cambridgeshire District Council,Warboys,Councillor,Audit and Governance,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2024-03-11,2024-04-20
D-001220,M-00393,South Cambridgeshire District Council,South Cambridgeshire District Council,Warboys,Councillor,Health and Wellbeing,Land and property in the area,Land and property in the area declared in the register,False,2023-08-17,2023-12-08
D-001221,M-00394,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Committee Member,Health and Wellbeing,"Employment, office, trade or profession",Employment declared in the register,False,2024-08-15,2024-11-04
D-001222,M-00394,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Committee Member,Health and Wellbeing,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2024-05-17,2024-10-15
D-001223,M-00394,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Committee Member,Finance,"Employment, office, trade or profession",Employment declared in the register,False,2024-04-20,2024-12-23
D-001224,M-00394,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Committee Member,Standards,Sponsorship,Sponsorship declared in the register,False,2025-05-04,2026-05-18
D-001225,M-00394,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Committee Member,Licensing,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-12-11,2024-11-01
D-001226,M-00395,St Ives Town Council,Huntingdonshire District Council,Huntingdon North,Councillor,(none),Directorship,Directorship declared in the register,False,2025-05-30,2026-05-27
D-001227,M-00395,St Ives Town Council,Huntingdonshire District Council,Huntingdon North,Councillor,Finance,Licences to occupy land,Licences to occupy land declared in the register,False,2023-11-01,2024-08-17
D-001228,M-00395,St Ives Town Council,Huntingdonshire District Council,Huntingdon North,Councillor,Standards,Trade union membership,Trade union membership declared in the register,False,2025-04-20,2026-04-05
D-001229,M-00395,St Ives Town Council,Huntingdonshire District Council,Huntingdon North,Councillor,Environment,"Employment, office, trade or profession",Employment declared in the register,False,2023-07-03,2023-07-22
D-001230,M-00396,St Ives Town Council,Huntingdonshire District Council,Huntingdon North,Councillor,Corporate Governance,"Employment, office, trade or profession",Employment declared in the register,False,2025-04-26,2025-05-11
D-001231,M-00396,St Ives Town Council,Huntingdonshire District Council,Huntingdon North,Councillor,Planning,Land and property in the area,Land and property in the area declared in the register,False,2024-11-30,2025-09-03
D-001232,M-00396,St Ives Town Council,Huntingdonshire District Council,Huntingdon North,Councillor,Finance,Corporate tenancies,Corporate tenancies declared in the register,False,2025-06-02,2026-02-23
D-001233,M-00397,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Audit and Governance,Membership of a political party,Membership of a political party declared in the register,False,2025-08-16,2026-01-24
D-001234,M-00397,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Corporate Governance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-08-16,2026-06-17
D-001235,M-00397,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Environment,Land and property in the area,Land and property in the area declared in the register,False,2025-10-05,2026-09-19
D-001236,M-00397,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Licensing,Sponsorship,Sponsorship declared in the register,False,2024-01-17,2024-05-03
D-001237,M-00397,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Employment,"Employment, office, trade or profession",Employment declared in the register,False,2024-05-16,2024-07-04
D-001238,M-00398,Huntingdon Town Council,Huntingdonshire District Council,Brampton,Mayor,Standards,Trade union membership,Trade union membership declared in the register,False,2025-05-12,2025-11-12
D-001239,M-00398,Huntingdon Town Council,Huntingdonshire District Council,Brampton,Mayor,Corporate Governance,Sponsorship,Sponsorship declared in the register,False,2024-11-02,2025-05-28
D-001240,M-00398,Huntingdon Town Council,Huntingdonshire District Council,Brampton,Mayor,Corporate Governance,Contracts with the authority,Contracts with the authority declared in the register,False,2023-08-29,2024-05-25
D-001241,M-00398,Huntingdon Town Council,Huntingdonshire District Council,Brampton,Mayor,Standards,"Employment, office, trade or profession",Employment declared in the register,False,2024-11-22,2025-01-09
